id;__latitude;__longitude;__year;Country;Country__colour;Country__shape
SAMN06240023_poultry_Uganda/1-44983;1.373.333;32.290.275;2016; Uganda; red; triangle
SAMN06277016_human_USA/1-44983;3.709.024;-95.712.891;2017; USA; yellow; triangle
SAMN06308727_human_USA/1-44983;3.709.024;-95.712.891;2017; USA; yellow; triangle
SAMN06477727_human_USA/1-44983;3.709.024;-95.712.891;2017; USA; yellow; triangle
SAMN07135174_poultry_Nigeria/1-44983;9.081.999;8.675.277;2018; Nigeria; pink; square
SAMN07135176_poultry_Nigeria/1-44983;9.081.999;8.675.277;2018; Nigeria; pink; square
SAMN07135296_pig_Nigeria/1-44983;9.081.999;8.675.277;2018; Nigeria; pink; square
SAMN07135297_pig_Nigeria/1-44983;9.081.999;8.675.277;2019; Nigeria; pink; square
SAMN07152377_human_UK/1-44983;55.378.051;-3.435.973;2017; United Kingdom; blue; triangle
SAMN07490516_human_USA/1-44983;3.709.024;-95.712.891;2017; USA; yellow; triangle
SAMN08134042_human_USA/1-44983;3.709.024;-95.712.891;2017; USA; yellow; triangle
SAMN08386787_human_Thailand/1-44983;15.870.032;100.992.541;2019; Thailand; red; circle
SAMN08386833_poultry_Thailand/1-44983;15.870.032;100.992.541;2019; Thailand; red; circle
SAMN08387019_poultry_Thailand/1-44983;15.870.032;100.992.541;2019; Thailand; red; circle
SAMN08451869_human_USA/1-44983;3.709.024;-95.712.891;2018; USA; yellow; triangle
SAMN08936542_human_SUI/1-44983;46.818.188;8.227.512;2020; Switzerland; purpl; square
SAMN08936655_human_SUI/1-44983;46.818.188;8.227.512;2020; Switzerland; purpl; square
SAMN08936555_human_SUI/1-44983;46.818.188;8.227.512;2020; Switzerland; purpl; square
SAMN08936658_human_SUI/1-44983;46.818.188;8.227.512;2020; Switzerland; purpl; square
SAMN08936682_human_SUI/1-44983;46.818.188;8.227.512;2020; Switzerland; purpl; square
SAMN08936706_human_SUI/1-44983;46.818.188;8.227.512;2020; Switzerland; purpl; square
SAMN08936753_human_SUI/1-44983;46.818.188;8.227.512;2020; Switzerland; purpl; square
SAMN10425371_human_Taiwan/1-44983;2.369.781;120.960.515;2019; Taiwan; black; square
SAMN11310156_cattle_Lebanon/1-44983;33.854.721;35.862.285;2019; Lebanon; blue; square
SAMN13293485_human_UK/1-44983;55.378.051;-3.435.973;2019; United Kingdom; blue; triangle
SAMN13961701_human_UK/1-44983;55.378.051;-3.435.973;2020; United Kingdom; blue; triangle
SAMN15447838_environ_Thailand/1-44983;15.870.032;100.992.541;2020; Thailand; red; circle
SAMN15447844_environ_Thailand/1-44983;15.870.032;100.992.541;2020; Thailand; red; circle
SAMN15447846_environ_Thailand/1-44983;15.870.032;100.992.541;2020; Thailand; red; circle
SAMN15447848_environ_Thailand/1-44983;15.870.032;100.992.541;2020; Thailand; red; circle
reference/1-44983;3.709.024;-95.712.891;2017; USA; brown; triangle
